                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.54701,                 1.0271,                0.46958,                0.97051,                0.80259,                0.84308,                0.85056,                 0.7338,                0.78515,                0.84705,                0.83864,                0.69919,                0.54335,                  1.286,                0.60488,                 1.0577,             0.00037407,             0.00037407,             0.00037407
                     70,                0.54151,                 1.0145,                0.46374,                0.97236,                0.83754,                 0.8126,                0.85666,                0.73385,                0.83955,                0.80146,                0.84495,                0.70093,                0.53231,                 1.2798,                0.58825,                 1.0407,             0.00036307,             0.00036307,             0.00036307
                     71,                  0.555,                 1.0514,                0.47855,                0.97796,                0.81638,                 0.8335,                0.85874,                0.74036,                0.80593,                0.82558,                0.84613,                0.70657,                0.53248,                 1.2671,                0.59258,                 1.0415,             0.00035208,             0.00035208,             0.00035208
                     72,                 0.5404,                 1.0065,                 0.4592,                0.97257,                0.82022,                0.82603,                0.85472,                0.73074,                0.82319,                0.82743,                0.84865,                 0.7023,                0.53599,                 1.2208,                0.57443,                 1.0478,             0.00034108,             0.00034108,             0.00034108
                     73,                0.54312,                 1.0187,                0.46523,                0.97093,                0.80876,                0.83137,                0.85808,                0.74043,                0.83615,                0.79985,                0.85179,                0.70674,                 0.5296,                 1.2372,                 0.5867,                 1.0385,             0.00033008,             0.00033008,             0.00033008
                     74,                0.54004,                 1.0205,                0.46456,                0.97076,                0.81673,                0.83207,                0.85763,                0.74029,                0.82033,                0.82196,                0.85431,                0.71004,                0.52534,                 1.2525,                0.58565,                 1.0433,             0.00031908,             0.00031908,             0.00031908
                     75,                 0.5345,                 1.0154,                0.45703,                0.96865,                0.84593,                0.82402,                0.86076,                0.73952,                0.84301,                0.81632,                0.84964,                0.70237,                0.52985,                 1.2527,                0.58373,                 1.0533,             0.00030808,             0.00030808,             0.00030808
                     76,                0.53813,                  1.017,                0.45745,                 0.9731,                0.82801,                0.84762,                0.86626,                0.74644,                0.81977,                 0.8389,                0.85521,                   0.71,                0.52485,                 1.2568,                0.57343,                 1.0488,             0.00029708,             0.00029708,             0.00029708
                     77,                 0.5347,                 1.0134,                 0.4587,                0.96699,                 0.8376,                0.82452,                0.86108,                0.74396,                0.83584,                0.82058,                0.85405,                0.71238,                0.52899,                  1.255,                0.57659,                 1.0422,             0.00028608,             0.00028608,             0.00028608
                     78,                0.53803,                  1.027,                0.45756,                 0.9671,                0.80339,                0.85444,                0.85874,                0.73727,                0.83634,                 0.8185,                0.85149,                0.70635,                 0.5378,                 1.2766,                0.57025,                 1.0509,             0.00027508,             0.00027508,             0.00027508
