                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.63086,                 1.2377,                0.58904,                   1.02,                0.82388,                0.84901,                0.87961,                0.75248,                0.81665,                0.84059,                0.86813,                0.71691,                0.54639,                 1.2139,                0.60364,                 1.0358,             0.00045107,             0.00045107,             0.00045107
                     63,                0.61801,                 1.1888,                0.57933,                 1.0163,                0.81704,                0.84656,                0.87878,                0.75225,                0.81134,                 0.8387,                0.86256,                0.71509,                0.53644,                 1.1988,                0.59896,                 1.0251,             0.00044007,             0.00044007,             0.00044007
                     64,                0.62155,                 1.1955,                0.59828,                 1.0164,                0.83008,                0.82301,                0.87052,                0.74891,                 0.8159,                0.82356,                0.85558,                0.70678,                0.54219,                 1.2304,                 0.6042,                 1.0245,             0.00042907,             0.00042907,             0.00042907
                     65,                0.60899,                 1.1695,                0.56536,                  1.009,                0.81467,                0.83289,                0.87552,                0.74876,                0.82007,                0.82319,                0.86125,                0.71304,                0.54636,                 1.2218,                0.60889,                 1.0342,             0.00041807,             0.00041807,             0.00041807
                     66,                0.59981,                 1.1554,                0.56098,                 1.0085,                0.82712,                0.82893,                0.87482,                0.75024,                 0.8212,                0.81883,                0.86155,                0.71235,                0.54323,                 1.2249,                0.59019,                 1.0322,             0.00040707,             0.00040707,             0.00040707
                     67,                0.60633,                 1.1764,                 0.5612,                 1.0049,                0.80449,                0.83761,                0.86746,                0.74559,                0.81201,                0.83081,                0.86048,                0.71002,                0.54299,                 1.2029,                0.60783,                 1.0292,             0.00039607,             0.00039607,             0.00039607
                     68,                0.59754,                 1.1682,                0.55365,                 1.0079,                0.83169,                0.84398,                0.86174,                0.73963,                 0.8199,                0.82552,                0.84527,                0.69945,                0.53059,                 1.2098,                0.59468,                 1.0259,             0.00038507,             0.00038507,             0.00038507
                     69,                0.60691,                 1.1562,                 0.5568,                 1.0048,                 0.8249,                0.83607,                0.87015,                0.75055,                0.82628,                0.82548,                0.86128,                0.71212,                 0.5315,                 1.2051,                0.60826,                   1.03,             0.00037407,             0.00037407,             0.00037407
                     70,                0.59635,                 1.1263,                0.54666,                 1.0038,                   0.85,                0.80958,                0.87877,                0.75256,                0.84498,                0.80366,                0.86753,                0.70969,                 0.5365,                 1.2205,                0.58193,                 1.0295,             0.00036307,             0.00036307,             0.00036307
                     71,                0.61037,                 1.1798,                0.56464,                 1.0118,                0.82292,                0.82424,                0.87506,                0.75198,                0.81999,                0.82085,                0.86303,                0.71521,                0.53288,                 1.2417,                0.59683,                 1.0244,             0.00035208,             0.00035208,             0.00035208
                     72,                0.59614,                 1.1396,                0.54227,                  1.005,                0.83958,                0.80777,                0.87355,                0.75257,                0.83695,                0.80596,                0.86532,                 0.7228,                0.54043,                 1.1617,                0.59991,                 1.0295,             0.00034108,             0.00034108,             0.00034108
                     73,                0.59429,                 1.1338,                0.54618,                 1.0006,                0.81239,                0.85519,                0.88019,                0.75838,                0.82077,                0.84748,                0.87418,                0.72784,                0.53323,                 1.1683,                0.58677,                 1.0253,             0.00033008,             0.00033008,             0.00033008
                     74,                 0.5873,                 1.1322,                0.54045,                0.99699,                0.84671,                 0.8191,                0.87177,                0.75313,                0.84064,                0.80912,                0.86006,                0.71671,                0.52549,                 1.1915,                0.59114,                 1.0185,             0.00031908,             0.00031908,             0.00031908
                     75,                0.58387,                 1.1259,                0.53377,                0.99603,                0.82586,                0.86253,                0.88248,                0.76015,                0.82681,                0.85179,                 0.8703,                0.72417,                0.51854,                 1.1753,                0.57032,                  1.011,             0.00030808,             0.00030808,             0.00030808
                     76,                0.58488,                 1.1211,                0.52974,                0.99828,                0.84659,                0.84424,                0.88074,                0.75924,                0.83817,                0.83623,                0.86642,                0.72567,                0.52154,                 1.1991,                0.58027,                 1.0212,             0.00029708,             0.00029708,             0.00029708
                     77,                0.58101,                 1.1152,                0.53154,                0.99387,                0.82674,                0.84054,                0.87104,                0.75271,                0.82495,                0.83559,                0.86627,                0.71938,                0.53443,                 1.2153,                0.57764,                  1.034,             0.00028608,             0.00028608,             0.00028608
